x,y,z
10833.15,54235.46,98.0
10828.77,54243.84,97.8
10822.47,54255.02,97.7
10814.68,54264.35,97.6
10764.39,54340.61,75.6
10770.98,54328.95,75.7
10775.68,54319.42,75.8
10779.31,54311.03,75.7
10782.61,54298.81,75.6
10786.82,54284.84,75.5
10791.94,54271.78,75.5
10795.27,54262.86,75.5
10799.92,54256.9,75.2
10803.97,54248.59,75.2
10807.42,54243.71,75.1
10812.44,54235.58,75.1
10817.82,54228.2,75.2
10821.17,54219.07,75.3
10826.53,54213.19,75.3
10831.07,54205.21,75.0
10832.56,54194.23,75.5
10837.59,54186.97,75.4
10840.12,54178.49,75.4
10821.8,54182.27,75.5
10839.92,54165.57,75.4
10840.03,54159.59,75.0
10849.02,54182.0,86.6
10848.03,54188.63,86.7
10840.03,54200.8,86.7
10837.33,54208.04,86.6
10832.47,54215.59,86.7
10826.63,54222.95,86.4
10822.5,54233.36,85.5
10814.66,54244.57,85.5
10808.6,54250.98,85.6
10804.89,54257.71,85.3
10801.7,54266.28,85.3
10800.03,54271.75,85.3
10795.32,54284.1,85.6
10791.28,54294.08,85.6
10787.26,54304.81,85.7
10780.25,54317.81,86.0
